as_of,forecast_rv,forecast_rv_single_har,daily_sigma,stress_index,regime,p_calm,p_normal,p_stressed,p_panic,var99,es99,var95,es95,trained_through,realized_rv,realized_return,breach99,breach95
2026-08-11,7.483998055504607,6.755796391318458,0.0047144756350848,0.2208993866469191,Normal,0.3702453651499936,0.5968646439316008,0.03283645674606,5.353417234558136e-05,0.0186854818014752,0.0248125105000001,0.0107055504078283,0.0158042656472485,2026-08-11,4.428291005263666,0.0025015309905517,0.0,0.0
2026-08-13,7.08640790890871,6.922572660393263,0.0044640173846985,0.1672314038102798,Calm,0.5238110586672658,0.4507550672832821,0.0253624780007987,7.139604865334029e-05,0.0176928087150359,0.0234943367626551,0.0101368141087979,0.0149646582276677,2026-08-11,3.987296041912822,-0.001981673765436,0.0,0.0
2026-08-14,5.923750412375509,5.775534864870672,0.0037316120047528,0.0663491073365605,Calm,0.8092237082183491,0.182508053472979,0.008265446389313,2.7919193588422854e-06,0.0147899731809137,0.0196396522575709,0.0084736805344886,0.0125094267062671,2026-08-11,4.265886233530513,-0.0047385759801002,0.0,0.0
2026-08-17,5.71287716180413,5.798220196167058,0.0035987743430462,0.0424804482302259,Calm,0.8772181755527086,0.1181235086441033,0.00465711136299,1.204440198135755e-06,0.0142634807557759,0.0189405212977328,0.0081720350507629,0.0120641170141464,2026-08-11,3.410829240958434,-0.006778680502842,0.0,0.0
2026-08-18,5.53375979782322,5.242080151283006,0.0034859410095731,0.0301865579639357,Calm,0.9122319717989936,0.0849765279906893,0.0027913547298329,1.4548048405625713e-07,0.0138162740328223,0.018346674073088,0.0079158150524687,0.0116858675301948,2026-08-11,6.131145649156348,0.0020956400290855,0.0,0.0
2026-08-19,5.974288677505869,6.372806066252215,0.0037634481193308,0.0535147902368459,Calm,0.8459229519206846,0.1476160042596242,0.0064547650081596,6.278811531414279e-06,0.0149161533090174,0.019807207249555,0.0085459734374082,0.0126161504335513,2026-08-11,7.828128733027972,-0.0084353712852466,0.0,0.0
2026-08-20,6.723951885731125,7.107113502773386,0.0042356915517162,0.1200628074921697,Calm,0.6587217701725123,0.3224533771520805,0.0187395127017929,8.533997361420642e-05,0.0167878558576606,0.0222926469954768,0.0096183357235858,0.0141992449775225,2026-08-11,5.375820649345209,0.0040829139984774,0.0,0.0
2026-08-21,6.283814935179506,6.320312222410109,0.0039584313341043,0.0991540538574475,Calm,0.7161270017119579,0.2702999763981092,0.0135568804955657,1.614139436723486e-05,0.0156889551205552,0.0208334132241682,0.0089887379770962,0.0132697897269869,2026-08-11,4.294309453751806,-0.0029427366251496,0.0,0.0
2026-08-24,5.715857450648283,5.893917466454259,0.0036006517485502,0.0530337301871343,Calm,0.8471643577692939,0.1465722901297914,0.0062611558711324,2.1962297822727138e-06,0.0142709217161486,0.0189504021725928,0.0081762982309795,0.012070410612334,2026-08-11,5.464112022838618,0.0031908415190819,0.0,0.0
2026-08-25,5.819304634875872,6.475094797923624,0.003665817349335,0.0583404039112416,Calm,0.8321492702980507,0.160685999994796,0.0071589773825312,5.752324622123634e-06,0.014529200842354,0.0192933718427886,0.0083242751594985,0.0122888642741158,2026-08-11,4.702319722042877,0.0002219909360958,0.0,0.0
2026-08-26,5.6294113532766445,6.04159863631928,0.0035461958258222,0.0467809874558487,Calm,0.8649870808848028,0.1296849889605011,0.0053258170570434,2.113097652732124e-06,0.0140550896211552,0.0186637980496614,0.0080526406556957,0.0118878588429593,2026-08-11,6.811457316834331,0.0065314099398456,0.0,0.0
2026-08-27,6.183289589567958,6.718335425686995,0.0038951063186408,0.083690538444386,Calm,0.7605238842466556,0.2279065700339031,0.0115435918590694,2.5953860372058527e-05,0.0154379710206021,0.0205001306424514,0.0088449406181542,0.0130575062316487,2026-08-11,9.677999683712027,-0.0022720644075461,0.0,0.0
2026-08-28,7.577115590871982,8.104218465449119,0.0047731341687232,0.2161422367381323,Normal,0.3988772894046618,0.5543476586620328,0.0462461042475515,0.0005289476857537,0.018917970639607,0.0251212331649316,0.0108387511998829,0.0160009057658654,2026-08-11,4.790732881109575,-0.0029939983934993,0.0,0.0
2026-08-31,6.370168800685922,6.327043223446811,0.0040128291562184,0.1359972258979045,Calm,0.6112388219487973,0.3695514321320981,0.0191889921956986,2.07537234060568e-05,0.0159045569379849,0.021119711560793,0.0091122636185025,0.0134521467265489,2026-08-11,7.638832477653146,-0.0068941338280792,0.0,0.0
2026-09-01,7.20544136656639,7.515133519479265,0.0045390014148552,0.2065274814095392,Normal,0.4150002629409523,0.5505895511521192,0.0342376646442868,0.0001725212626416,0.0179900024730157,0.0238889812957079,0.0103070865583258,0.0152160260623171,2026-08-11,,,,
